Source,Target,Type,Id,Label,Intercal,Weight
1307652,777777,,,,,
1313515,777777,,,,,
1321422,777777,,,,,
1322955,777777,,,,,
1326956,777777,,,,,
1329324,777777,,,,,
1334862,777777,,,,,
1336395,777777,,,,,
1353820,777777,,,,,
1356910,777777,,,,,
1359573,777777,,,,,
1380972,777777,,,,,
1386813,777777,,,,,
1388543,777777,,,,,
1405335,777777,,,,,
1410484,777777,,,,,
1412919,777777,,,,,
1417639,777777,,,,,
1421420,777777,,,,,
1423849,777777,,,,,
1426726,777777,,,,,
1433858,777777,,,,,
1439915,777777,,,,,
1440225,777777,,,,,
1441849,777777,,,,,
1443135,777777,,,,,
1447493,777777,,,,,
1449854,777777,,,,,
1453727,777777,,,,,
1456372,777777,,,,,
1463798,777777,,,,,
1466340,777777,,,,,
1468793,777777,,,,,
1468934,777777,,,,,
1470776,777777,,,,,
1477485,777777,,,,,
1478973,777777,,,,,
1480075,777777,,,,,
1484860,777777,,,,,
1493991,777777,,,,,
1494048,777777,,,,,
1494733,777777,,,,,
1498039,777777,,,,,
1501466,777777,,,,,
1502793,777777,,,,,
1509208,777777,,,,,
1509427,777777,,,,,
1519480,777777,,,,,
1520080,777777,,,,,
1523436,777777,,,,,
1524664,777777,,,,,
1525112,777777,,,,,
1525202,777777,,,,,
1530804,777777,,,,,
1532983,777777,,,,,
1533646,777777,,,,,
1542029,777777,,,,,
1545809,777777,,,,,
1563596,777777,,,,,
1567902,777777,,,,,
1568139,777777,,,,,
1576963,777777,,,,,
1577027,777777,,,,,
1577840,777777,,,,,
1580814,777777,,,,,
1581328,777777,,,,,
1582380,777777,,,,,
1584998,777777,,,,,
1587026,777777,,,,,
1595779,777777,,,,,
1603768,777777,,,,,
1607143,777777,,,,,
1614531,777777,,,,,
1615024,777777,,,,,
1620813,777777,,,,,
1627305,777777,,,,,
1627775,777777,,,,,
1630637,777777,,,,,
1642599,777777,,,,,
1644785,777777,,,,,
1645686,777777,,,,,
1646099,777777,,,,,
1647618,777777,,,,,
1649495,777777,,,,,
1671682,777777,,,,,
1675123,777777,,,,,
1690679,777777,,,,,
